,text,CandidatePosition,NeighbourInformation
0,-,-0.15730808335650273,0.26917096909286403
1,1-Apr-2021),-0.06431121171043841,0.26953988765972264
2,",E-Mail",-0.24027278523661152,-0.4939269916814903
3,GSTIN,-0.6677468955871576,-0.4939269916814903
4,14-Sep-22,-0.16402249968794716,3.0492955826144605
5,26 X,-0.5684374610826514,-0.4939269916814903
6,8400,-0.4368714552698649,-0.4939269916814903
7,8608,-0.4785183088083069,-0.4939269916814903
8,16 X,-0.5547459160828982,-0.4939269916814903
9,8400,-0.4240910768865013,-0.4939269916814903
10,9152,-0.46551958175781677,-0.4939269916814903
11,16 X,-0.5417380186754747,-0.4939269916814903
12,=7200,-0.41800043154040817,-0.4939269916814903
13,7382,-0.4527112303062218,-0.4939269916814903
14,-,0.19368156436826786,0.2713876959146601
15,1-Apr-2021),0.24823686362796357,0.27160419707839517
16,24-Sep-22 12:59,0.18131062115298277,0.27130728997923464
