,text,CandidatePosition,NeighbourInformation
0,04/11/2022,-0.3873464871079252,3.050116419905147
1,DE),-0.6332660818993254,0.2692638685665972
2,2 MENS,-0.6062612027120715,-0.4939269916814903
3,3 1001-0110-,-0.569813648283105,-0.4939269916814903
4,4 MENS,-0.5749166050397283,-0.4939269916814903
5,1499.,-0.3422433150041247,-0.4939269916814903
6,1499.,-0.32657101616795314,-0.4939269916814903
7,1499.,-0.29522641849561,-0.4939269916814903
8,1499.00,-0.2658989075480769,-0.4939269916814903
9,1499.00,-0.25022660871190533,-0.4939269916814903
10,1499.00,-0.21888201103956217,-0.4939269916814903
