,text,CandidatePosition,NeighbourInformation
0,&,-0.3146851759513162,-0.4939269916814903
1,3rd,-0.2874748352965788,-0.4939269916814903
2,6th,-0.0916534702666117,0.26933627311128444
3,21-08-2022,0.47004276718811544,-0.4939269916814903
4,To),-0.3691645834004824,-0.4939269916814903
5,To),0.2432065820217591,-0.4939269916814903
6,"6/5,",-0.5140315482518928,-0.4939269916814903
7,1st,-0.4813584926928131,-0.4939269916814903
8,3rd,-0.4031057505680645,-0.4939269916814903
9,5th,-0.32985093346186545,-0.4939269916814903
10,"6/5,",0.06134149409978983,-0.4939269916814903
11,1st,0.09401454965886949,-0.4939269916814903
12,3rd,0.17226729178361813,-0.4939269916814903
13,5th,0.24552210888981718,-0.4939269916814903
14,18%,-0.3911442103193048,0.2693448595593914
15,time.,-0.4514428055159845,0.2690909984536635
16,to,-0.2488082203121014,0.2698924680323315
