,text,CandidatePosition,NeighbourInformation
0,09-12-22,-0.13863787722868903,-0.4939269916814903
1,9099,0.19370936970818095,0.2696192702305111
2,08-DEC-22 12:47:00,0.2603748274779432,0.26984324789410946
3,09-DEC-22,0.2317233290918813,-0.4939269916814903
4,09:28:00,0.3049859205434986,-0.4939269916814903
5,09-DEC-22,0.3445804384200414,-0.4939269916814903
6,09:28:13,0.4157074358679945,-0.4939269916814903
7,08-12-22,-0.5028056506749982,2.286454681473547
8,08-12-22,-0.49710774258177365,2.2864761563235354
9,08-] 2-22,-0.49427721870772,2.286486904545718
10,08-12-22,-0.49144669483366643,2.2864976527679004
11,"10,736.82 .00",0.47053047447023205,-0.4939269916814903
12,3 18.91,0.08915428733911793,-0.4939269916814903
13,+91,-0.04840402367823131,-0.4939269916814903
