,Unnamed: 0,text,x,y,PageHeight,PageWidth,isTop,isBottom,isRight,isLeft,invoice,invoice date,invoice dt,due date,date,dated,invoice x,invoice date x,invoice dt x,due date x,date x,dated x,invoice y,invoice date y,invoice dt y,due date y,date y,dated y,NX,NY,imageName,output
0,72,21-07-2022,0.772892295280355,0.0810502283105022,3504,2479,0,0,0,0,1,1,1,0,1,1,0.5018152480839048,0.5018152480839048,0.5018152480839048,0.0,0.7289229528035498,0.7289229528035498,0.0388127853881278,0.0388127853881278,0.0388127853881278,0.0,0.0679223744292237,0.0679223744292237,2.9632916498588138,0.252283105022831,1,1
1,73,21-07-2022 ,0.772892295280355,0.0810502283105022,3504,2479,0,0,0,0,1,1,1,0,1,1,0.5018152480839048,0.5018152480839048,0.5018152480839048,0.0,0.7289229528035498,0.7289229528035498,0.0388127853881278,0.0388127853881278,0.0388127853881278,0.0,0.0679223744292237,0.0679223744292237,2.9632916498588138,0.252283105022831,1,1
2,206,1-oct-22. to 31 ,0.7511093182734974,0.5613584474885844,3504,2479,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.6712384025816862,0.6712384025816862,0.0,0.0,0.0,0.0,0.4937214611872146,0.4937214611872146,1.3424768051633724,0.9874429223744292,2,0
3,204,1-oct-22.,0.7196450181524808,0.5613584474885844,3504,2479,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.6712384025816862,0.6712384025816862,0.0,0.0,0.0,0.0,0.4937214611872146,0.4937214611872146,1.3424768051633724,0.9874429223744292,2,0
4,203,22-sep-22,0.217426381605486,0.1486872146118721,3504,2479,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.1121419927390076,0.1121419927390076,0.0,0.0,0.0,0.0,0.1475456621004566,0.1475456621004566,0.2242839854780153,0.2950913242009132,2,1
5,205,22-sep-22 ,0.217426381605486,0.1486872146118721,3504,2479,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.1121419927390076,0.1121419927390076,0.0,0.0,0.0,0.0,0.1475456621004566,0.1475456621004566,0.2242839854780153,0.2950913242009132,2,1
6,51,1-mar-23,0.8909803921568628,0.2472727272727272,3300,2550,0,0,0,0,1,1,1,0,1,1,0.7372549019607844,0.7372549019607844,0.7372549019607844,0.0,0.7760784313725491,0.7760784313725491,0.2448484848484848,0.2448484848484848,0.2448484848484848,0.0,0.2448484848484848,0.2448484848484848,3.763921568627452,1.224242424242424,3,1
7,52,27-feb-23,0.8980392156862745,0.2836363636363636,3300,2550,0,0,0,0,1,1,1,0,1,1,0.7372549019607844,0.7372549019607844,0.7372549019607844,0.0,0.7760784313725491,0.7760784313725491,0.2448484848484848,0.2448484848484848,0.2448484848484848,0.0,0.2448484848484848,0.2448484848484848,3.763921568627452,1.224242424242424,3,0
8,53,1-mar-23 ,0.8909803921568628,0.2472727272727272,3300,2550,0,0,0,0,1,1,1,0,1,1,0.7372549019607844,0.7372549019607844,0.7372549019607844,0.0,0.7760784313725491,0.7760784313725491,0.2448484848484848,0.2448484848484848,0.2448484848484848,0.0,0.2448484848484848,0.2448484848484848,3.763921568627452,1.224242424242424,3,1
9,54,27-feb-23 ,0.8980392156862745,0.2836363636363636,3300,2550,0,0,0,0,1,1,1,0,1,1,0.7372549019607844,0.7372549019607844,0.7372549019607844,0.0,0.7760784313725491,0.7760784313725491,0.2448484848484848,0.2448484848484848,0.2448484848484848,0.0,0.2448484848484848,0.2448484848484848,3.763921568627452,1.224242424242424,3,0
10,50,28-sep-2022,0.7081821846029827,0.1824401368301026,3508,2481,0,0,0,0,1,0,1,0,1,1,0.5594518339379283,0.0,0.5594518339379283,0.0,0.5969367190648932,0.5969367190648932,0.1641961231470923,0.0,0.1641961231470923,0.0,0.1824401368301026,0.1824401368301026,2.312777106005643,0.69327251995439,5,1
11,93,31st jan-2023 ,0.7411764705882353,0.2539393939393939,3300,2550,0,0,0,0,1,0,1,0,1,1,0.1854901960784313,0.0,0.1854901960784313,0.0,0.592156862745098,0.592156862745098,0.2539393939393939,0.0,0.2539393939393939,0.0,0.1666666666666666,0.1666666666666666,1.5552941176470587,0.8412121212121212,6,1
12,63,01.01.23,0.864058087938685,0.1551428571428571,3500,2479,0,0,0,0,0,0,0,-1,1,1,0.0,0.0,0.0,0.7382008874546188,0.7422347720855184,0.7422347720855184,0.0,0.0,0.0,0.1205714285714285,0.1205714285714285,0.1205714285714285,0.746268656716418,0.1205714285714285,7,1
13,64,01.12.22,0.8624445340863252,0.1811428571428571,3500,2479,0,0,0,0,1,1,1,-1,1,1,0.7236789027833804,0.7438483259378782,0.7438483259378782,0.7382008874546188,0.7474788221056877,0.7474788221056877,0.168,0.168,0.168,0.1205714285714285,0.168,0.168,2.9681323114158933,0.7194285714285715,7,0
14,70,16-01-23 ,0.8499394917305365,0.3014285714285714,3500,2479,0,0,0,0,1,1,1,-1,1,1,0.7236789027833804,0.7438483259378782,0.7438483259378782,0.7382008874546188,0.7474788221056877,0.7474788221056877,0.1942857142857142,0.168,0.168,0.1205714285714285,0.168,0.168,2.9681323114158933,0.7457142857142859,7,0
15,68,01.01.23 ,0.864058087938685,0.1551428571428571,3500,2479,0,0,0,0,0,0,0,-1,1,1,0.0,0.0,0.0,0.7382008874546188,0.7422347720855184,0.7422347720855184,0.0,0.0,0.0,0.1205714285714285,0.1205714285714285,0.1205714285714285,0.746268656716418,0.1205714285714285,7,1
